Platform,Nama Toko,Rating Produk,Produk Terjual,Kategori Seri,Kategori Varian,penyimpanan,Battery Health,Harga,Wilayah Toko,Link Pembelian
Tokopedia,SHIPAN-TEKNOLOGI,5.0,9,iPhone 11 Series,iPhone 11,64GB,N/A,Rp1.460.000,Tangerang,https://www.tokopedia.com/shipan-1/iphone-11-internasional-hijau-1729993278821992314?extParam=ivf%3Dfalse%26keyword%3Diphone+11+bekas%26search_id%3D2026072213511075639EBFFD530F3B8MYP%26src%3Dsearch
Tokopedia,Boboystore889 Shop,4.9,2000,iPhone 11 Series,iPhone 11,64GB,90,Rp3.610.000,Jakarta Barat,https://www.tokopedia.com/boboystore889-shop/iphone-11-64gb-128gb-256gb-bekas-fullset-1731401352344209130?extParam=ivf%3Dfalse%26keyword%3Diphone+11+bekas%26search_id%3D2026072213511075639EBFFD530F3B8MYP%26src%3Dsearch
Tokopedia,Saturdaysh,5.0,9,iPhone 11 Series,iPhone 11,64GB,N/A,Rp1.460.000,Medan,https://www.tokopedia.com/saturdaysh/apple-iphone-11-64gb-white-color-1732561555342525503?extParam=ivf%3Dfalse%26keyword%3Diphone+11+bekas%26search_id%3D2026072213511075639EBFFD530F3B8MYP%26src%3Dsearch
Tokopedia,UNLOCK IMEI 250K UNLOCKBYSK,0.0,6,iPhone 11 Series,iPhone 11,128GB,N/A,Rp410.000,Jakarta Pusat,https://www.tokopedia.com/unlock-imei-250k-unlockbysk/iphone-11-unlock-original-second-garansi-3-bulan-unlockbysk-1731280357197055401?extParam=ivf%3Dfalse%26keyword%3Diphone+11+bekas%26search_id%3D2026072213511075639EBFFD530F3B8MYP%26src%3Dsearch
Tokopedia,QQ store168,4.9,750,iPhone 11 Series,iPhone 11,64GB,N/A,Rp3.660.000,Jakarta Barat,https://www.tokopedia.com/cris0880/iphone-11-64gb-original-100-mulus-normal-fullset-64gb-black-989e9?extParam=ivf%3Dfalse%26keyword%3Diphone+11+bekas%26search_id%3D2026072213511075639EBFFD530F3B8MYP%26src%3Dsearch
Tokopedia,ibeks store,5.0,5,iPhone 11 Series,iPhone 11,128GB,N/A,Rp960.000,Bekasi,https://www.tokopedia.com/candradisvapor/iphone-11-64-bahan-mulus-sekali-1731313252960995231?extParam=ivf%3Dfalse%26keyword%3Diphone+11+bekas%26search_id%3D2026072213511075639EBFFD530F3B8MYP%26src%3Dsearch
Tokopedia,Toko Elektronik Bagus Cell,0.0,1,iPhone 11 Series,iPhone 11,128GB,N/A,Rp1.810.000,Jakarta,https://www.tokopedia.com/toko-elektronik-bagus-cell/iphone-11-penyimpanan-128gb-1734479541453947939?extParam=ivf%3Dfalse%26keyword%3Diphone+11+bekas%26search_id%3D2026072213511075639EBFFD530F3B8MYP%26src%3Dsearch
Tokopedia,YOGA STORE2002,0.0,1,iPhone 11 Series,iPhone 11,64GB,N/A,Rp960.000,Kab. Muara Enim,https://www.tokopedia.com/archive-serbaada-20-1671408379/iphone-11-64gb-minus-icloud-terkunci-1736139527332988911?extParam=ivf%3Dfalse%26keyword%3Diphone+11+bekas%26search_id%3D2026072213511075639EBFFD530F3B8MYP%26src%3Dsearch
Tokopedia,pstoremarketponsel,0.0,2,iPhone 11 Series,iPhone 11,128GB,N/A,Rp2.135.000,Kab. Lima Puluh Kota,https://www.tokopedia.com/pstoremarketponsel/apple-iphone-11-fulset-original-128gb-ibox-smartphone-dengan-warna-hijau-muda-kondisi-terbaik-fitur-normal-1731939208557397810?extParam=ivf%3Dfalse%26keyword%3Diphone+11+bekas%26search_id%3D2026072213511075639EBFFD530F3B8MYP%26src%3Dsearch
Tokopedia,PLUTO SMART,0.0,2,iPhone 11 Series,iPhone 11,64GB,N/A,Rp2.244.974,Jakarta Pusat,https://www.tokopedia.com/pluto-smart/wifi-only-iphone-11-64gb-128gb-unit-tidak-fullset-1736348484514645443-1736348309938800067?extParam=ivf%3Dfalse%26keyword%3Diphone+11+bekas%26search_id%3D2026072213511075639EBFFD530F3B8MYP%26src%3Dsearch
Tokopedia,tj san,0.0,7,iPhone 11 Series,iPhone 11,256GB,N/A,Rp1.460.000,Jakarta Timur,https://www.tokopedia.com/tjie/iphone-11-256gb-second-inter?extParam=ivf%3Dfalse%26keyword%3Diphone+11+bekas%26search_id%3D2026072213511075639EBFFD530F3B8MYP%26src%3Dsearch
Tokopedia,phonecellipad,0.0,3,iPhone 11 Series,iPhone 11,128GB,N/A,Rp1.110.000,Bekasi,https://www.tokopedia.com/phonecellipad/iphone-11-bypass-wifi-only-1734778453782267047?extParam=ivf%3Dfalse%26keyword%3Diphone+11+bekas%26search_id%3D2026072213511075639EBFFD530F3B8MYP%26src%3Dsearch
Tokopedia,oeys cell,5.0,3,iPhone 11 Series,iPhone 11,128GB,N/A,Rp2.960.000,Kab. Bogor,https://www.tokopedia.com/oeys-cell/iphone-11-full-box-128-gb-1732266203367769649?extParam=ivf%3Dfalse%26keyword%3Diphone+11+bekas%26search_id%3D2026072213511075639EBFFD530F3B8MYP%26src%3Dsearch
Tokopedia,NADRYZSTORE,5.0,1,iPhone 11 Series,iPhone 11,64GB,N/A,Rp1.960.000,Jakarta Utara,https://www.tokopedia.com/nadryzstore/second-iphone-11-64gb-red-ex-ibox?extParam=ivf%3Dfalse%26keyword%3Diphone+11+bekas%26search_id%3D2026072213511075639EBFFD530F3B8MYP%26src%3Dsearch
Tokopedia,Maqphone,0.0,2,iPhone 11 Series,iPhone 11,128GB,N/A,Rp1.960.000,Jakarta Selatan,https://www.tokopedia.com/maqphone/iphone-11-64-nominus-fullset-dengan-kualitas-tinggi-dan-desain-elegan-untuk-penggunaan-sehari-hari-1733452852835354319?extParam=ivf%3Dfalse%26keyword%3Diphone+11+bekas%26search_id%3D2026072213511075639EBFFD530F3B8MYP%26src%3Dsearch
Tokopedia,Ramai Phone 88,4.9,90,iPhone 11 Series,iPhone 11,64GB,N/A,Rp3.245.000,Jakarta Utara,https://www.tokopedia.com/ramaiphone88/iphone-11-64-gb-second-mulus-fullset-bergaransii-1731580066611496506?extParam=ivf%3Dfalse%26keyword%3Diphone+11+bekas%26search_id%3D2026072213511075639EBFFD530F3B8MYP%26src%3Dsearch
Tokopedia,Flashgoll,0.0,2,iPhone 11 Series,iPhone 11,256GB,80,Rp1.860.000,Kab. Bandung Barat,https://www.tokopedia.com/flashgoll/iphone-11-white-256-bh-80-aman-terkendali-1732243774352688326?extParam=ivf%3Dfalse%26keyword%3Diphone+11+bekas%26search_id%3D2026072213511075639EBFFD530F3B8MYP%26src%3Dsearch
Tokopedia,piscesbahari,0.0,1,iPhone 11 Series,iPhone 11,128GB,N/A,Rp1.840.000,Depok,https://www.tokopedia.com/piscesbahari/iphone-11-128gb-second-like-new-1732741701093656169?extParam=ivf%3Dfalse%26keyword%3Diphone+11+bekas%26search_id%3D2026072213511075639EBFFD530F3B8MYP%26src%3Dsearch
Tokopedia,REZA PUTRA CELL,0.0,1,iPhone 11 Series,iPhone 11,64GB,N/A,Rp20.160.000,Denpasar,https://www.tokopedia.com/reza-putra-cell/iphone-11-64gb-second-inter-1734643744825051094?extParam=ivf%3Dfalse%26keyword%3Diphone+11+bekas%26search_id%3D2026072213511075639EBFFD530F3B8MYP%26src%3Dsearch
Tokopedia,Great Apple,4.8,50,iPhone 11 Series,iPhone 11,64GB,80,Rp2.815.000,Depok,https://www.tokopedia.com/greatappleid/apple-iphone-xr-iphone-11-64gb-256gb-garansi-resmi-ibox-inter-fullset-like-new-fullset-ibox-ip-xr-64gb-wifi-only-85ac6?extParam=ivf%3Dfalse%26keyword%3Diphone+11+bekas%26search_id%3D2026072213511075639EBFFD530F3B8MYP%26src%3Dsearch
Tokopedia,nmaarif12,4.9,30,iPhone 11 Series,iPhone 11,128GB,N/A,Rp2.260.000,Surabaya,https://www.tokopedia.com/nmaarif12/iphone-11-inter-128-ibox-fullset-1731614579454215727?extParam=ivf%3Dfalse%26keyword%3Diphone+11+bekas%26search_id%3D2026072213511075639EBFFD530F3B8MYP%26src%3Dsearch
Tokopedia,Agen Hellboy Official Shop,5.0,1,iPhone 11 Series,iPhone 11,128GB,N/A,Rp2.680.000,Jakarta Pusat,https://www.tokopedia.com/duniajamtanganori/iphone-11-fullset-garansi-resmi-ibox?extParam=ivf%3Dfalse%26keyword%3Diphone+11+bekas%26search_id%3D2026072213511075639EBFFD530F3B8MYP%26src%3Dsearch
Tokopedia,Panda Jaya Gadget,4.9,250,iPhone 11 Series,iPhone 11,64GB,85,Rp3.259.000,Tangerang Selatan,https://www.tokopedia.com/panda-jaya-gadget/ibox-iphone-11-64gb-128gb-256gb-second-garansi-resmi-ibox-bergaransi-1733330280137590181?extParam=ivf%3Dfalse%26keyword%3Diphone+11+bekas%26search_id%3D2026072213511075639EBFFD530F3B8MYP%26src%3Dsearch
Tokopedia,AFAGADGET,4.9,100,iPhone 11 Series,iPhone 11,64GB,N/A,Rp3.660.000,Depok,https://www.tokopedia.com/afagadgetstore/apple-iphone-11-11-pro-max-512gb-256gb-128gb-64gb-original-garansi-resmi-ibox-indonesia-1731061788818769008?extParam=ivf%3Dfalse%26keyword%3Diphone+11+bekas%26search_id%3D2026072213511075639EBFFD530F3B8MYP%26src%3Dsearch
Tokopedia,Facai iphonee,4.8,100,iPhone 11 Series,iPhone 11,64GB,N/A,Rp3.760.000,Jakarta Barat,https://www.tokopedia.com/facai-iphonee/iphone-11-64gb-bekas-second-original-fullset-like-new-purple-64-gb?extParam=ivf%3Dfalse%26keyword%3Diphone+11+bekas%26search_id%3D2026072213511075639EBFFD530F3B8MYP%26src%3Dsearch
Tokopedia,Z Nine Jakarta,0.0,7,iPhone 11 Series,iPhone 11,128GB,N/A,Rp4.160.000,Kab. Tangerang,https://www.tokopedia.com/z-nine-jakarta/apple-iphone-11-resmi-ex-ibox-beacukai-internasional-garansi-12-bulan-1734374630345114690?extParam=ivf%3Dfalse%26keyword%3Diphone+11+bekas%26search_id%3D2026072213511075639EBFFD530F3B8MYP%26src%3Dsearch
Tokopedia,Doitha,5.0,2,iPhone 11 Series,iPhone 11,64GB,N/A,Rp2.460.000,Kab. Sukoharjo,https://www.tokopedia.com/doitha/iphone-11-64-second-putih-fullset-1734428267450369889?extParam=ivf%3Dfalse%26keyword%3Diphone+11+bekas%26search_id%3D2026072213511075639EBFFD530F3B8MYP%26src%3Dsearch
Tokopedia,AA Store168,5.0,50,iPhone 11 Series,iPhone 11,256GB,95,Rp3.410.000,Kab. Tangerang,https://www.tokopedia.com/astore168/apple-iphone-11-64-128-256gb-second-inter-mulus-100-1735184559970158476-1735184597445085068?extParam=ivf%3Dfalse%26keyword%3Diphone+11+bekas%26search_id%3D2026072213511075639EBFFD530F3B8MYP%26src%3Dsearch
Tokopedia,Ar Gadget Store_NEW,5.0,2,iPhone 11 Series,iPhone 11,64GB,N/A,Rp3.860.000,Bandung,https://www.tokopedia.com/ar-gadget-store-714/iphone-11-64gb-ibox-black?extParam=ivf%3Dfalse%26keyword%3Diphone+11+bekas%26search_id%3D2026072213511075639EBFFD530F3B8MYP%26src%3Dsearch
Tokopedia,DIGICELL,4.9,250,iPhone 11 Series,iPhone 11,128GB,90,Rp4.055.000,Bandung,https://www.tokopedia.com/digicell/iphone-11-64-128-gb-second-mulus-inter-ibox-64-gb-inter-white?extParam=ivf%3Dfalse%26keyword%3Diphone+11+bekas%26search_id%3D2026072213511075639EBFFD530F3B8MYP%26src%3Dsearch
Tokopedia,MK Cellular Medan,4.8,100,iPhone 11 Series,iPhone 11,64GB,N/A,Rp3.845.000,Kab. Deli Serdang,https://www.tokopedia.com/mkcelullar/iphone-11-64-gb-second-original-black?extParam=ivf%3Dfalse%26keyword%3Diphone+11+bekas%26search_id%3D2026072213511075639EBFFD530F3B8MYP%26src%3Dsearch
Tokopedia,Market Ponsel,0.0,4,iPhone 11 Series,iPhone 11,128GB,N/A,Rp2.135.000,Jakarta,https://www.tokopedia.com/market-ponsel/apple-iphone-11-fulset-128gb-ibox-original-dengan-pilihan-warna-yang-variasi-1731885828147939174?extParam=ivf%3Dfalse%26keyword%3Diphone+11+bekas%26search_id%3D2026072213511075639EBFFD530F3B8MYP%26src%3Dsearch
Tokopedia,aryarfyzhrnn,0.0,2,iPhone 11 Series,iPhone 11,128GB,N/A,Rp2.460.000,Kab. Semarang,https://www.tokopedia.com/aryarfyzhrnn/apple-iphone-11-ex-ibox-baru-asli-kondisi-siap-pakai-kompatibel-dengan-ibox-tampilan-menarik-model-iphone-11-1733847630936573895?extParam=ivf%3Dfalse%26keyword%3Diphone+11+bekas%26search_id%3D2026072213511075639EBFFD530F3B8MYP%26src%3Dsearch
Tokopedia,Prelovedaes,0.0,1,iPhone 11 Series,iPhone 11,64GB,N/A,Rp2.050.000,Jakarta,https://www.tokopedia.com/prelovedaes/iphone-11-prleoved-64gb-ex-ibox-1732037150441441123?extParam=ivf%3Dfalse%26keyword%3Diphone+11+bekas%26search_id%3D2026072213511075639EBFFD530F3B8MYP%26src%3Dsearch
Tokopedia,DIKA48 STORE,0.0,2,iPhone 11 Series,iPhone 11,128GB,N/A,Rp2.460.000,Kab. Bekasi,https://www.tokopedia.com/dika48-store/iphone-11-128gb-new-kondisi-bagus-1732335447309715208?extParam=ivf%3Dfalse%26keyword%3Diphone+11+bekas%26search_id%3D2026072213511075639EBFFD530F3B8MYP%26src%3Dsearch
Tokopedia,ONE SHOP MOBILE BEC,5.0,12,iPhone 11 Series,iPhone 11,64GB,90,Rp3.560.000,Bandung,https://www.tokopedia.com/tmpbec/iphone-11-64gb-inter-allop?extParam=ivf%3Dfalse%26keyword%3Diphone+11+bekas%26search_id%3D2026072213511075639EBFFD530F3B8MYP%26src%3Dsearch
